ref,context,premise,example,judgment,questionnaire,comment
kii_ev_47,disj-nspk-sta-exc-4,na,kii_29,?,Q2,"not ungrammatical, but sounds a bit repetitive"
kii_ev_48,disj-nspk-sta-exc-4,na,kii_31,felicitous,Q2,
kii_ev_49,disj-nspk-sta-inc-4,na,kii_12,infelicitous,Q2,"when I say this, I’m sure it’s not both of them"
kii_ev_50,disj-nspk-sta-inc-4,na,kii_29,infelicitous,Q2,
kii_ev_51,disj-nspk-sta-inc-4,na,kii_31,infelicitous,Q2,corrected to: N’wa wîgue Njoni kana Paûrû i ndagîtaarî
kii_ev_52,disj-nspk-sta-inc-4,na,kii_32,felicitous,Q2,MOD
kii_ev_53,disj-nspk-sta-inc-mod,na,kii_33,felicitous,Q2,that’s good
kii_ev_54,neither-sta-4,na,kii_12,infelicitous,Q2,
kii_ev_55,neither-sta-4,na,kii_29,infelicitous,Q2,
kii_ev_56,disj-nspk-epi,na,kii_13,felicitous,Q2,that’s good
kii_ev_57,disj-nspk-epi,na,kii_34,infelicitous,Q2,sounds like you are certain that you left it in the office
kii_ev_58,disj-nspk-epi,na,kii_35,infelicitous,Q2,
kii_ev_59,disj-nspk-sta-exc,na,kii_36,infelicitous,Q2,
kii_ev_60,disj-nspk-sta-exc,na,kii_37,felicitous,Q2,this is fine
kii_ev_61,disj-nspk-epi-q,na,kii_16,felicitous,Q2,
kii_ev_62,disj-nspk-epi-q,na,kii_38,felicitous,Q2,the above is an assertion!
kii_ev_63,disj-nspk-epi-q,na,kii_39,felicitous,Q2,"“Between the bus and the office, where did you leave the phone?”"
kii_ev_64,neither-sta,na,kii_40,infelicitous,Q2,"again, this sounds like correction without a connector"
kii_ev_65,conj-nocontrast-sta-3,na,kii_18,infelicitous,Q2,
kii_ev_66,conj-contrast-sta-3,na,kii_18,infelicitous,Q2,"would be ok with a different reading, as in “I don’t know what he is anymore.”"
kii_ev_67,disj-spk-5,na,kii_18,infelicitous,Q2,
kii_ev_68,disj-nspk-sta-exc-5,na,kii_18,infelicitous,Q2,
kii_ev_69,disj-nspk-sta-inc-5,na,kii_18,infelicitous,Q2,
kii_ev_70,fc,na,kii_20,felicitous,Q2,"thats’ good, means: Paul can/is able to eat a cupcake or a cookie..."
kii_ev_71,fc,na,kii_41,?,Q2,"again, this sounds repetitive with the full clauses"
kii_ev_72,fc,na,kii_42,felicitous,Q2,
