ref,context,premise,example,judgment,questionnaire,comment
NL_E_45,conj-contrast-negp-epi,na,NL_Q2_A3_2,felicitous,Q2,Also works.
NL_E_46,disj-spk-2,na,NL_Q2_B1_1,infelicitous,Q2,
NL_E_47,disj-spk-2,na,NL_Q1_B1_5,felicitous,Q2,This works.
NL_E_48,disj-spk-2,na,NL_Q1_B1_6,felicitous,Q2,Also ok.
NL_E_49,conj-nocontrast-sta-2,na,NL_Q1_B1_5,infelicitous,Q2,
NL_E_50,conj-nocontrast-sta-2,na,NL_Q1_B1_6,infelicitous,Q2,
NL_E_51,conj-contrast-sta-2,na,NL_Q1_B1_5,infelicitous,Q2,
NL_E_52,conj-contrast-sta-2,na,NL_Q1_B1_6,infelicitous,Q2,
NL_E_53,disj-nspk-sta-exc-4,na,NL_Q1_B1_5,felicitous,Q2,Both work fine.
NL_E_54,disj-nspk-sta-exc-4,na,NL_Q1_B1_6,felicitous,Q2,Both work fine.
NL_E_55,disj-nspk-sta-inc-4,na,NL_Q1_B1_5,infelicitous,Q2,2nd version slightly better (1st one explicitly “either … or”) but both don’t work
NL_E_56,disj-nspk-sta-inc-4,na,NL_Q1_B1_6,??,Q2,2nd version slightly better (1st one explicitly “either … or”) but both don’t work
NL_E_57,neither-sta-4,na,NL_Q1_B1_5,infelicitous,Q2,
NL_E_58,neither-sta-4,na,NL_Q1_B1_6,infelicitous,Q2,
NL_E_59,disj-nspk-sta-exc-mod,na,NL_Q1_B2.1.1_2,felicitous,Q2,"Ok, that works."
NL_E_60,disj-nspk-sta-exc-mod,na,NL_Q2_B2.1.2_1,felicitous,Q2,"That works too, but emphasises that it is only one of these things. exclusive reading!"
NL_E_61,disj-nspk-epi-q-mod,na,NL_Q2_B2.2_1,#/*,Q2,"This would only make sense if the friend had already listed other options, maybe in a kind of enumeration (“Did you leave it at A or at B or at C…?”). ! Follow up comment by the consultant suggests that the question is actually ungrammatical"
NL_E_62,neither-sta,na,NL_Q2_C1_1,infelicitous,Q2,
NL_E_63,conj-nocontrast-sta-3,na,NL_Q1_C1_2,infelicitous,Q2,
NL_E_64,conj-nocontrast-sta-3,na,NL_Q1_C1_3,infelicitous,Q2,
NL_E_65,conj-contrast-sta-3,na,NL_Q1_C1_2,infelicitous,Q2,
NL_E_66,conj-contrast-sta-3,na,NL_Q1_C1_3,infelicitous,Q2,
NL_E_67,disj-spk-5,na,NL_Q1_C1_2,infelicitous,Q2,
NL_E_68,disj-spk-5,na,NL_Q1_C1_3,infelicitous,Q2,
NL_E_69,disj-nspk-sta-exc-5,na,NL_Q1_C1_2,infelicitous,Q2,
NL_E_70,disj-nspk-sta-exc-5,na,NL_Q1_C1_3,infelicitous,Q2,
NL_E_71,disj-nspk-sta-inc-5,na,NL_Q1_C1_2,infelicitous,Q2,
NL_E_72,disj-nspk-sta-inc-5,na,NL_Q1_C1_3,infelicitous,Q2,
NL_E_73,fc,na,NL_Q1_C2_1,felicitous,Q2,"Ok, both would work."
NL_E_74,fc,na,NL_Q2_C2_1,felicitous,Q2,"Ok, both would work."
