ref,context,target,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,questionnaire
disj-nspk-sta-inc-2,"Your friend asks you what Susie’s job is. You’re not sure. As far as you know, she might be a doctor now, she might be a teacher, she might also be both. You say to your friend:",Susie is a doctor X she is a teacher,?,0,,1,0,0,0,0,2
neither-sta-2,"Your friend asks you what Susie’s job is, but you don’t know. However, you know for sure that Susie is not a doctor and that Susie is not a teacher, so you tell your friend:",Susie is a doctor X she is a teacher,0,1,,1,0,0,0,0,2
disj-spk-4,"Paul’s mother told him to iron his shirts, but Paul is not doing that. Instead, he is watching TV. Paul’s sister knows that Paul is watching TV, and when their mother asks her what Paul is doing, she is in a difficult situation. She doesn’t want to lie but she also doesn’t want to snitch on Paul, so she says that he is doing one of those two things:",Paul is watching TV X he is ironing his shirts.,0,0,,0,0,1,0,0,2
disj-nspk-epi-exc-2,"Paul needs to iron his shirts, but he would much rather watch his favourite TV programme. Paul’s sister knows that he is definitely doing one of these things, but she doesn’t know which of the two things Paul decided to do. So when her mother asks her what Paul is doing, Paul’s sister says:",Paul is watching TV X he is ironing his shirts.,0,0,,0,0,0,0,0,2
disj-nspk-epi-inc-2,"Paul needs to iron his shirts, but he would much rather watch his favourite TV programme. Paul’s sister knows that he is doing one of these things, but he might also be doing both, as Paul is very good at multitasking. So when her mother asks her what Paul is doing, Paul’s sister says:",Paul is watching TV X he is ironing his shirts.,?,0,,0,0,0,0,0,2
neither-epi-2,"Paul needs to iron his shirts, but he would much rather watch his favourite TV programme. Paul’s mother asks his sister which of these things Paul is doing, but the sister knows that Paul is not ironing and he is not watching TV. She actually saw Paul sleeping on the sofa! Paul’s sister says:",Paul is watching TV X he is ironing his shirts.,0,1,,0,0,0,0,0,2
disj-spk-4-prime,"You live in a place where doctors as well as people who don’t have much money get discounts on public trains. Your friend asks you why Susie paid so little for her last train ride. You know that Susie is not a doctor and that Susie is very poor, but she doesn’t want people to know that. Since you don’t want to embarrass Susie and you also don’t want to lie, you mention two possible reasons for Susie’s discount:",Susie is a doctor X she is poor.,0,0,,1,0,1,0,0,2
disj-nspk-sta-exc-3,"You live in a place where doctors get paid very well and are highly appreciated, and where poor people get a lot of support. For example, doctors as well as people who don’t have much money get discounts on public trains. Your friend asks you why Susie paid so little on her last train ride. You don’t know anything about Susie, but you can think of two possible reasons:",Susie is a doctor X she is poor.,0,0,,1,0,0,0,0,2
disj-nspk-sta-inc-3,"You live in a place where some doctors earn very little money and accumulate a lot of debt to finish their studies. So doctors sometimes struggle financially, but they are highly appreciated. Therefore, all doctors get discounts on public trains no matter how much money they have. Besides, all poor people get discounts on trains as well. Your friend asks you why Susie paid so little on her last train ride. You don’t know much about Susie, but you can imagine that Susie might be a doctor, she might be poor, she might also be both. You say to your friend:",Susie is a doctor X she is poor.,?,0,,1,0,0,0,0,2
neither-sta-3,"You live in a place where all doctors get paid very well and are highly appreciated, and where poor people get a lot of support. In fact, doctors as well as people who don’t have much money get discounts on public trains. Your friend asks whether Susie will get a discount. You know that Susie doesn’t meet either condition for a discount, so you say:",Susie is a doctor X she is poor.,0,1,,1,0,0,0,0,2
conj-nocontrast-sta-2,Your friends Paul and John both work as doctors in a hospital. Your sister asks you what Paul and John do for a living. You say:,Paul is a doctor X John is a doctor.,1,0,0,1,0,1,0,0,2
conj-contrast-sta-2,Paul and John are brothers but they used to have very different interests when they were young. Paul was good at science and interested in medicine. John loved art and wrote poems. You are surprised when I tell you that they actually chose the same profession:,Paul is a doctor X John is a doctor.,1,0,1,1,0,1,0,0,2
disj-nspk-sta-exc-4,Your sister asks you what Paul and John do for a living. You know one of them is a doctor but you don’t know which one. You say: ,Paul is a doctor X John is a doctor.,0,0,,1,0,0,0,0,2
disj-nspk-sta-inc-4,"Your sister asks you what Paul and John do for a living. You know at least one of them is a doctor. You can’t quite remember though, maybe John is a doctor, maybe Paul is a doctor, maybe both of them are doctors. You say: ",Paul is a doctor X John is a doctor.,?,0,,1,0,0,0,0,2
neither-sta-4,"Paul and John are brothers, and their parents always wished that they would become doctors. Now Paul is a writer and John is a linguist. Their mother says, with disappointment in her voice:",Paul is a doctor X John is a doctor.,0,0,,1,0,0,0,0,2
conj-nocontrast-sta-3,"Paul works in a hospital. In this hospital, it is normal that qualified doctors like Paul also do the work of nurses, so all doctors are nurses at the same time. When your friend asks you what Paul does for a living, you say:",Paul is a doctor X he is a nurse. ,1,0,0,1,0,1,0,0,2
conj-contrast-sta-3,"Paul works as a doctor in a hospital. The hospital is terribly understaffed. Now there is a huge crisis because several nurses have quit their jobs at the same time. In addition to his normal tasks as a doctor, Paul now also has to do the nurse’s jobs. Paul’s sister never gets to see him anymore, she tells you:",Paul is a doctor X he is a nurse. ,1,0,1,1,0,1,0,0,2
disj-spk-5,"You and your friend are playing a game guessing the jobs of different people. She can’t guess what Paul does, and she asks you for a hint. You know that Paul works as a doctor (and nothing else), so this is your hint:",Paul is a doctor X he is a nurse. ,0,0,0,1,0,1,0,0,2
disj-nspk-sta-exc-5,"Your friend asks you what Paul does for a living. You always confuse Paul with his brother Peter. One of them is a nurse and one is a doctor, but you can’t remember which of the two professions Paul has. You say:",Paul is a doctor X he is a nurse. ,0,0,0,1,0,0,0,0,2
disj-nspk-sta-inc-5,"Paul works in a hospital. In this hospital, some qualified doctors also do the work of nurses, so some doctors are nurses at the same time. But there are also employees who only work as doctors as well as employees who only work as nurses. You don’t remember which of these arrangements applies to Paul. As far as you know, Paul might be a doctor, he might be a nurse, he might also be both. When your friend asks you what Paul does for a living, you say:",Paul is a doctor X he is a nurse. ,?,0,0,1,0,0,0,0,2
conj-nocontrast-sta-mod,"Susie is a doctor. Unfortunately, she lives in a place where doctors earn very little money and accumulate a lot of debt to finish their studies. So doctors often struggle financially. Therefore, you are not surprised when I tell you:",Paul is a doctor X he is a nurse. ,1,0,0,1,0,1,0,0,2
conj-contrast-epi-2,"Paul is ironing his shirt. His mother told him to focus on this chore and turn the TV off. However, the TV is still on while Paul is ironing. Paul’s mother asks his sister what Paul is doing. The sister says:",Paul is watching TV X he is ironing his shirts.,1,0,1,0,0,1,0,0,1
conj-contrast-sta-4,"Susie works as a doctor. This is a full-time job and normal people can’t do another job in addition. However, Susie is not normal people, she gets by on 3 hours of sleep and has a lot of energy. You are still surprised when your friend tells you:",Susie is a doctor X Susie is a teacher,1,0,1,1,0,1,0,0,1
disj-nspk-epi-tel,He ate rice or noodles. ,He ate rice X he ate noodles,?,0,1,0,0,0,0,0,2
conj-nocontrast-epi-tel,He ate both rice and noodles. ,He ate rice X he ate noodles,1,0,0,0,0,1,0,0,2
conj-contrast-epi-tel,"He ate a lot of rice, so you expected him to be full. But he in fact ate noodles as well. ",He ate rice X he ate noodles,1,0,1,0,0,1,0,0,2
disj-spk-tel,You know that he only ate rice. You are giving a hint to a friend with whom you are playing a “guess what he ate” game. ,He ate rice X he ate noodles,?,0,,1,0,1,0,0,2
disj-nspk-epi-exc-tel,You know that he ate either rice or noodles. You also know that he ate only one of them. ,He ate rice X he ate noodles,0,0,,1,0,0,0,0,2
disj-nspk-epi-inc-tel,"You know that he ate rice or noodles. In fact, he might have eaten both. ",He ate rice X he ate noodles,?,0,,1,0,0,0,0,2
neither-epi-tel,He ate neither rice nor noodles.,He ate rice X he ate noodles,0,1,,0,0,0,0,0,2
conj-nocontrast-epi-tur,"You know that John ate both bread and rice. When your flatmate asks you why there is no bread or rice in the cupboard, you say:",John ate bread X he ate rice,1,0,0,0,0,1,0,0,2
conj-contrast-epi-tur,"You are in a university canteen. With a single ticket, you have to choose either a plate of rice or a piece of bread. You saw that John ate both rice and bread. You say to the professor: ",John ate bread X he ate rice,1,0,1,0,0,1,0,0,2
disj-nspk-epi-tur,Your sister asks you what John ate. You know that John ate bread or rice. You say:,John ate bread X he ate rice,?,0,1,0,0,0,0,0,2
disj-nspk-epi-inc-tur,"Your sister asks you what John ate. You know that John ate either bread or rice, maybe both. You say: . You say: ",John ate bread X he ate rice,?,0,,1,0,0,0,0,2
disj-nspk-epi-exc-tur,Your sister asks you what John ate. You know that John ate either bread or rice. You know that he ate only one of them. You say: ,John ate bread X he ate rice,0,0,,1,0,0,0,0,2
neither-epi-tur,You know that John didn’t eat either rice or bread. ,John ate bread X he ate rice,0,1,,0,0,0,0,0,2
