ref,expression,full form,words,glosses,translation,comment,questionnaire
kor_19,-kena,-kena,Paul-i uysa-i- kena John-i uysa-i-ta.,Paul-nom doctor-cop- or John-nom doctor-cop-decl,(Either) Paul is a doctor or John is a doctor.,,Q1
kor_20,ttonun,-kena ttonun,Paul-i uysa-i- kena ttonun John-i uysa-i-ta.,Paul-nom doctor-cop- or or John-nom doctor-cop-decl,(Either) Paul is a doctor or John is a doctor.,,Q1
kor_21,animyen,-kena animyen,Paul-i uysa-i- kena animyen John-i uysa-i-ta.,Paul-nom doctor-cop- or or John-nom doctor-cop-decl,(Either) Paul is a doctor or John is a doctor.,,Q1
kor_22,-kena,-kena,Na-nun nay phon-ul hoya-ey twu-ess- kena ku.kes-ul cip-ey o-nun kil-ey ttelettullye-ss-ta.,I-top my phone-acc company-at leave-past- or it-acc home-at come-adn way-at drop-past-decl,I left my phone at work or I dropped it on my way home.,,Q1
kor_23,-kena,-kena,Na-nun nay phon-ul hoya-ey twu-ess- kena na-nun ku.kes-ul cip-ey o-nun kil-ey ttelettullye-ss-ta.,I-top my phone-acc company-at leave-past- or I-top it-acc home-at come-adn way-at drop-past-decl,I left my phone at work or I dropped it on my way home.,,Q1
kor_24,ttonun,-kena ttonun,Na-nun nay phon-ul hoya-ey twu-ess- kena ttonun ku.kes-ul cip-ey o-nun kil-ey ttelettullye-ss-ta.,I-top my phone-acc company-at leave-past- or or it-acc home-at come-adn way-at drop-past-decl,I left my phone at work or I dropped it on my way home.,,Q1
kor_25,ttonun,-kena ttonun,Na-nun nay phon-ul hoya-ey twu-ess- kena ttonun na-nun ku.kes-ul cip-ey o-nun kil-ey ttelettullye-ss-ta.,I-top my phone-acc company-at leave-past- or or I-top it-acc home-at come-adn way-at drop-past-decl,I left my phone at work or I dropped it on my way home.,,Q1
kor_26,animyen,-kena animyen,Na-nun nay phon-ul hoya-ey twu-ess- kena animyen ku.kes-ul cip-ey o-nun kil-ey ttelettullye-ss-ta.,I-top my phone-acc company-at leave-past- or or it-acc home-at come-adn way-at drop-past-decl,I left my phone at work or I dropped it on my way home.,,Q1
kor_27,animyen,-kena animyen,Na-nun nay phon-ul hoya-ey twu-ess- kena animyen na-nun ku.kes-ul cip-ey o-nun kil-ey ttelettullye-ss-ta.,I-top my phone-acc company-at leave-past- or or I-top it-acc home-at come-adn way-at drop-past-decl,I left my phone at work or I dropped it on my way home.,,Q1
kor_28,-kena,-kena,John-un uysa-i- kena ku-nun cakka-i-ta.,John-top doctor-cop- or he-top writer-cop-decl,John is a doctor or he is a writer.,,Q1
kor_29,ttonun,-kena ttonun,John-un uysa-i- kena ttonun ku-nun cakka-i-ta.,John-top doctor-cop- or or he-top writer-cop-decl,John is a doctor or he is a writer.,,Q1
kor_30,animyen,-kena animyen,John-un uysa-i- kena animyen ku-nun cakka-i-ta.,John-top doctor-cop- or or he-top writer-cop-decl,John is a doctor or he is a writer.,,Q1
kor_31,-kena,-kena,John-un uysa-i- kena cakka-i-ta,John-top doctor-cop-or writer-cop-decl,John is a doctor or he is a writer (maybe both).,,Q1
kor_32,animyen,animyen,ne-nun ne-uy phon-ul hoya-ey twu-ess-ni animyen pesu-ey twu-ess-ni?,you-top you-gen phone-acc company-at leave-past-Q or bus-at leave-past-Q,Did you leave your phone at work or did you leave it on the bus?,,Q1
kor_33,ttonun,ttonun,ne-nun ne-uy phon-ul hoya-ey twu-ess-ni ttonun pesu-ey twu-ess-ni?,you-top you-gen phone-acc company-at leave-past-Q or bus-at leave-past-Q,Did you leave your phone at work or did you leave it on the bus?,"if there is a pause, ttonun may be not that weird",Q1
kor_34,animyen,animyen,A kakey-eyse i pulayntu-lul pha-ni animyen B kakey-eyse i pulayntu-lul pha-ni?,A store-at this brand-acc sell-Q or B store-at this brand-acc sell-Q,Would Shop A sell this brand or would Shop B sell this brand?,,Q1
kor_35,ttonun,ttonun,A kakey-eyse i pulayntu-lul pha-ni ttonun B kakey-eyse i pulayntu-lul pha-ni?,A store-at this brand-acc sell-Q or B store-at this brand-acc sell-Q,Would Shop A sell this brand or would Shop B sell this brand?,"if there is a pause, ttonun may be not that weird",Q1
kor_36,animyen,animyen,A kakey-eyse i pulayntu-lul phal-kka animyen B kakey-eyse i pulayntu-lul phal-kka?,A store-at this brand-acc sell-Q or B store-at this brand-acc sell-Q,Would Shop A sell this brand or would Shop B sell this brand?,"The version with -kka is more uncertain, leaves open other possibilities. (less confidence in judgement)",Q1
kor_37,ttonun,ttonun,A kakey-eyse i pulayntu-lul phal-kka ttonun B kakey-eyse i pulayntu-lul phal-kka?,A store-at this brand-acc sell-Q or B store-at this brand-acc sell-Q,Would Shop A sell this brand or would Shop B sell this brand?,"The version with -kka is more uncertain, leaves open other possibilities. (less confidence in judgement)",Q1
kor_38,...ko...,-to … NEG- … -ko … -to NEG- …,Paul-un uysa- to ani-ko ku-nun kanhosa- to ani- ta.,Paul-top doctor-also neg-conj he-top nurse-also neg-decl,Paul is neither a doctor nor is he a nurse.,,Q1
kor_39,...ko...,-to … NEG- … -ko … -to NEG- …,Mike-nun aisukhulim-ul sa-ci- to anh- ass- ko ku-nun ku-uy yetongsayng-eykey cwu-ci- to anh -ass-ta.,Mike-top ice.cream-acc buy-CI-also neg-past-conj he-top he-gen younger.sister-dat give-CI-also neg-past-decl,Mike didn’t buy ice cream nor did he give it to his sister.,,Q1
kor_40,...ko...,-to … NEG- … -ko … -to NEG- …,Mike-nun aisukhulim-ul sa-ci- to anh- ass- ko ku-nun ku-uy yetongsayng-eykey ku.kes-ul cwu-ci- to anh -ass-ta.,Mike-top ice.cream-acc buy-CI-also neg-past-conj he-top he-gen younger.sister-dat it-acc give-CI-also neg-past-decl,Mike didn’t buy ice cream nor did he give it to his sister.,,Q1
kor_41,-kena,-kena,Paul-un khepkheyikh-ul mek-eto.toy- kena ku-nun khwukhi-lul mek-eto.toy-n-ta.,Paul-top cupcake-acc eat-can-or he-top cookie-acc eat-can-pres-decl,Paul can eat a cupcake or he can eat a cookie.,,Q1
kor_42,ttonun,-kena ttonun,Paul-un khepkheyikh-ul mek-eto.toy- kena ttonun ku-nun khwukhi-lul mek-eto.toy-n-ta.,Paul-top cupcake-acc eat-can-or or he-top cookie-acc eat-can-pres-decl,Paul can eat a cupcake or he can eat a cookie.,,Q1
kor_43,animyen,-kena animyen,Paul-un khepkheyikh-ul mek-eto.toy- kena animyen ku-nun khwukhi-lul mek-eto.toy-n-ta.,Paul-top cupcake-acc eat-can-or or he-top cookie-acc eat-can-pres-decl,Paul can eat a cupcake or he can eat a cookie.,,Q1
kor_44,-ina,-ina,Paul-un khepkheyikh- ina khwukhi-lul mek-eto.toy-n-ta.,Paul-top cupcake-or cookie-acc eat-can-pres-decl,Paul can eat a cupcake or he can eat a cookie.,,Q1
kor_45,ttonun,-ina ttonun,Paul-un khepkheyikh- ina ttonun khwukhi-lul mek-eto.toy-n-ta.,Paul-top cupcake-or or cookie-acc eat-can-pres-decl,Paul can eat a cupcake or he can eat a cookie.,,Q1
kor_46,animyen,-ina animyen,Paul-un khepkheyikh- ina animyen khwukhi-lul mek-eto.toy-n-ta.,Paul-top cupcake-or or cookie-acc eat-can-pres-decl,Paul can eat a cupcake or he can eat a cookie.,,Q1
kor_47,∅,∅,Susie-nun uysa-i-ta. Kunye-nun kananha-ta.,Susie-top doctor-cop-decl. She-top poor-decl.,Susie is a doctor. She is poor.,kulena is fine here connecting two clauses,Q2
kor_48,la,(ani-) la,Susie-nun uysa- la kunye-nun sensayingnim-i-ta,Susie-top doctor-CONJ she-top teacher-cop-decl,Susie is a doctor and she is a teacher.,"the sentence is in principle grammatical, but has the sense “Because Susie is a doctor, she is a teacher” due to a causal meaning of “la”.",Q2
kor_49,la,(ani-) la,Susie-nun uysa- la kunye-nun kananha-ta.,Susie-top doctor-CONJ she-top poor-decl,Susie is a doctor but she is poor.,"Again, the sentence has the reading “Because she is a doctor, she is poor.”",Q2
kor_50,la,(ani-) la,Susie-nun uysa-ka ani- la kunye-nun sensayingnim-i ani-ta,Susie-top doctor-nom neg- LA she-top teacher-nom neg-decl,Susie is not a doctor and she is not a teacher.,,Q2
kor_51,la,(ani-) la,Susie-nun uysa-ka ani-la sensayingnim-i-ta.,Susie-top doctor-nom neg-la teacher-cop-decl,Susie is not a doctor but a teacher.,,Q2
kor_52,-kena,-kena,Paul-i uysa-i- kena John-i uysa-i-ta.,Paul-nom doctor-cop- or John-nom doctor-cop-decl,Paul is a doctor or John is a doctor.,the speaker is being uncooperative. Truth conditionally compatible.,Q2
kor_53,ttonun,-kena ttonun,Paul-i uysa-i- kena ttonun John-i uysa-i-ta.,Paul-nom doctor-cop- or or John-nom doctor-cop-decl,Paul is a doctor or John is a doctor.,the speaker is being uncooperative. Truth conditionally compatible.,Q2
kor_54,animyen,-kena animyen,Paul-i uysa-i- kena animyen John-i uysa-i-ta.,Paul-nom doctor-cop- or or John-nom doctor-cop-decl,Paul is a doctor or John is a doctor.,the speaker is being uncooperative. Truth conditionally compatible.,Q2
kor_55,-kena,-kena,Paul-i uysa-i- kena John-i uysa-i-ta.,Paul-nom doctor-cop- or John-nom doctor-cop-decl,Paul is a doctor or John is a doctor.,The sentence has a false implicature (that only one of them is a doctor). But the consultant judges that this sentence is better than 8a.,Q2
kor_56,ttonun,-kena ttonun,Paul-i uysa-i- kena ttonun John-i uysa-i-ta.,Paul-nom doctor-cop- or or John-nom doctor-cop-decl,Paul is a doctor or John is a doctor.,The sentence has a false implicature (that only one of them is a doctor). But the consultant judges that this sentence is better than 8a.,Q2
kor_57,animyen,-kena animyen,Paul-i uysa-i- kena animyen John-i uysa-i-ta.,Paul-nom doctor-cop- or or John-nom doctor-cop-decl,Paul is a doctor or John is a doctor.,The sentence has a false implicature (that only one of them is a doctor). But the consultant judges that this sentence is better than 8a.,Q2
kor_58,-kena,-kena,ne-nun ne-uy phon-ul hoya-ey twu-ess- kena pesu-ey twu-ess-ni?,you-top you-gen phone-acc company-at leave-past- or bus-at leave-past-Q,Did you leave your phone at work or on the bus?,yes/no question (can be answered with yes or no),Q2
