ref,context,premise,example,judgment,questionnaire,comment
hebrew-ev-67,disj-nspk-sta-inc-4,na,hebrew-con-10,infelicitous,2,strongly exclusive interpretation
hebrew-ev-68,disj-nspk-sta-inc-4,na,hebrew-con-40,infelicitous,2,sounds a bit like you’re changing your mind (afterthought)
hebrew-ev-69,disj-nspk-sta-inc-4,na,hebrew-con-11,infelicitous,2,
hebrew-ev-70,disj-nspk-sta-inc-4,na,hebrew-con-28,felicitous,2,
hebrew-ev-71,disj-nspk-sta-inc-4,na,hebrew-con-29,felicitous,2,
hebrew-ev-72,disj-nspk-sta-inc-4,na,hebrew-con-30,felicitous,2,with ‘o … o’ it would more likely be interpreted exclusively
hebrew-ev-73,neither-sta-4,na,hebrew-con-10,infelicitous,2,
hebrew-ev-74,neither-sta-4,na,hebrew-con-11,infelicitous,2,
hebrew-ev-75,disj-nspk-epi,na,hebrew-con-41,infelicitous,2,
hebrew-ev-76,disj-nspk-sta-exc,na,hebrew-con-42,*,2,
hebrew-ev-77,disj-nspk-sta-exc,na,hebrew-con-43,infelicitous,2,
hebrew-ev-78,disj-nspk-epi-q-mod,na,hebrew-con-17a,felicitous,2,this is ok
hebrew-ev-79,disj-nspk-epi-q-mod,na,hebrew-con-17b,felicitous,2,this is ok
hebrew-ev-80,disj-nspk-epi-q-mod,na,hebrew-con-44,infelicitous,2,this is not good in a question
hebrew-ev-81,neither-sta,na,hebrew-con-45,infelicitous,2,
hebrew-ev-82,conj-nocontrast-sta-3,na,hebrew-con-19,infelicitous,2,
hebrew-ev-83,conj-nocontrast-sta-3,na,hebrew-con-20,infelicitous,2,
hebrew-ev-84,conj-contrast-sta-3,na,hebrew-con-19,infelicitous,2,"could be ok if it means that he’s sth. in between, but not in a conjunctive reading"
hebrew-ev-85,conj-contrast-sta-3,na,hebrew-con-20,infelicitous,2,
hebrew-ev-86,disj-spk-5,na,hebrew-con-19,infelicitous,2,
hebrew-ev-87,disj-spk-5,na,hebrew-con-20,infelicitous,2,
hebrew-ev-88,disj-nspk-sta-exc-5,na,hebrew-con-19,infelicitous,2,
hebrew-ev-89,disj-nspk-sta-exc-5,na,hebrew-con-20,infelicitous,2,
hebrew-ev-90,disj-nspk-sta-inc-5,na,hebrew-con-19,infelicitous,2,
hebrew-ev-91,disj-nspk-sta-inc-5,na,hebrew-con-20,infelicitous,2,
hebrew-ev-92,fc,na,hebrew-con-23,felicitous,2,this is ok
hebrew-ev-93,fc,na,hebrew-con-46,infelicitous,2,this doesn’t have the FC reading
