ref,expression,full form,words,glosses,translation,comment,questionnaire
kii_25,na,ti … na ti,Susie ti ndagitaarî na ti mwarimû,Susie neg 9-doctor and neg 1-teacher,Susie is not a doctor and not a teacher.,,Q2
kii_26,juxtaposition,juxtaposition,Susie ni n-dagitaarî ti-mû-toong-û,1.Susie foc 9-doctor neg-1sm-rich-fv.stat?,"Susie is a doctor, she is not rich.",,Q2
kii_27,juxtaposition,juxtaposition,Jen ni-a-gûr-ire n-deremende a-gûr-îr-ire mu-ntû a-ta-iyî,Jen foc-1sm-buy-pfv 9-sweets 1sm-buy-appl-pfv 1-person 1sm-neg-know,"Jen bought sweets, she bought it for a stranger.",would be ok as 2 sentences,Q2
kii_28,juxtaposition,juxtaposition,"Paurû i ndagitarî, Njoni i ndagitarî","Paul foc doctor, John foc doctor","Paul is a doctor, John is a doctor.",,Q2
kii_29,kana,kana,Paurû i ndagitarî kana Njoni i ndagitarî,Paul foc doctor or John foc doctor,Paul is a doctor or John is a doctor.,this could be correct depending on how we play the game,Q2
kii_30,kana,kana,Ndagitaarî i Paûrû kana Njoni.,doctor foc Paul or John,The doctor is Paul or John.,,Q2
kii_31,kana,kana,Paurû kana Njoni i ndagitarî,Paul or John foc doctor,Paul or John is a doctor.,,Q2
kii_32,kana,MOD + kana,N’wa wîgue Njoni kana Paûrû i ndagîtaarî,MOD John or Paul foc doctor,Maybe John or Paul is a doctor.,MOD,Q2
kii_33,kana,MOD + kana,Njoni n’wa wigue i ndagitarî kana Njoni n’wa wigue i mwandîki,John MOD foc doctor or John MOD foc writer,John might be a doctor or John might be a writer.,that’s good,Q2
kii_34,kana,kana,Ntigire thimû ûbiciini kana nteere njîraani,1sg.sm-leave-pfv phone office-loc or 1sg.sm-leave-pfv path-loc,I left the phone in the office or lost it on the way,sounds like you are certain that you left it in the office,Q2
kii_35,juxtaposition,juxtaposition,N’wa wigue ntigire thimû ûbiciini nteere njîraani,MOD 1sg.sm-leave-pfv phone office-loc 1sg.sm-leave-pfv path-loc,"Maybe I left the phone in the office, I lost it on the way.",,Q2
kii_36,juxtaposition,juxtaposition,Njoni ni n-dagitarî mû-andîk-i,John cop 9-doctor 1-writer-noml,"John is a doctor, a writer.",,Q2
kii_37,na,gati ka … na …,"Gatî ka ûndagitaarî na wandîki, îmwe ya-ci-o n’-yo Njoni arutaga","Between 12-of doctorship and writership, one of-10-them is-what John does","Between doctorship and writership, John does one of them.",this is fine,Q2
kii_38,na,gati ka … na …,"gatî ka mbaci na ûbici, amwe a-gu n’oo n-tigire thimû.","between of bus and office,16-one 16-dem foc-pron (there) 1sg.sm-left phone","Between the bus and the office, it is one of the places that I left the phone.",the above is an assertion!,Q2
kii_39,na,gati ka … na …,"gatî ka mbaci na ûbici, i kû ûtigire thimû.",between of bus and office where 2sg.sm-left phone,"Between the bus and the office, where did you leave the phone?",,Q2
kii_40,juxtaposition,juxtaposition,"Paûrû ti n-dagitarî, ti naasi",Paûrû neg 9-doctor neg nurse,"Paul is not a doctor, not a nurse.","again, this sounds like correction without a connector",Q2
kii_41,kana,kana,Paurû n-wa arîe cupcake kana Paurû n-wa arîe cookie,Paul MOD eat cupcake or Paul MOD eat cookie,Paul can eat a cupcake or Paul can eat a cookie.,"again, this sounds repetitive with the full clauses",Q2
kii_42,na,gati ka … na …,"Gatî ka cupcake na cookie, Paûrû n’wa arîe kî-mwe gî-a-bi-o","Between of cupcake and cookie, Paul MOD eat 7-one 7-conn-8-pron","Between a cupcake and a cookie, Paul can eat one of them.",,Q2
