ref,expression,full_form,words,glosses,translation,comment,questionnaire
jp_027,matawa,-ka matawa,Watashi -wa shigotoba -ni denwa -o wasureta -ka matawa kaeru tochuu -de pro otoshita,I -Top work.place -Dat phone -Acc forgot -KA or return middle -Loc pro dropped,I left my phone at work or dropped it on my way home.,,Q1
jp_028,-ka,-ka,Jon -wa ima isya -ka sakka -da,John -Top now doctor -KA writer -Cop,John is a doctor or he is a writer now.,,Q1
jp_029,-ka ... -ka,-ka ... -ka,Jon -wa ima isya -ka sakka -ka -da,John -Top now doctor -KA writer -KA -Cop,John is a doctor or he is a writer now.,,Q1
jp_030,matawa,-ka matawa,Jon -wa ima isya -ka matawa sakka -da,John -Top now doctor -KA or writer -Cop,John is a doctor or he is a writer now.,,Q1
jp_031,matawa,-ka matawa -ka,Jon -wa ima isya -ka matawa sakka -ka -da,John -Top now doctor -KA or writer -KA -Cop,John is a doctor or he is a writer now.,,Q1
jp_032,-ka ... -ka,-ka ... -ka,"Denwa -wa shigotoba -ni wasure -mashita -ka, basu -ni wasure -mashita -ka?",phone -Top work.place -Dat forget -pol.Past -Q bus -Dat forget -pol.Past -Q,Did you leave your phone at work or did you leave it on the bus?,Difference is in politeness. B) is polite.,Q1
jp_033,soretomo,-ka soretomo -ka,"Denwa -wa shigotoba -ni wasure -mashita -ka, soretomo basu -ni wasure -mashita -ka?",phone -Top work.place -Dat forget -pol.Past -Q or bus -Dat forget -pol.Past -Q,Did you leave your phone at work or did you leave it on the bus?,Difference is in politeness. B) is polite.,Q1
jp_034,-ka ... -ka,-ka ... -ka,Mise A -ga kono burando -o oite -imasu -ka Mise B -ga kono burando -o oite -imasu -ka,Shop A -Nom this brand -Acc deal.with -Pol -Q shop B -Nom this brand -Acc deal.with -Pol -Q,Would Shop A sell this brand or would Shop B sell this brand?,FORMAL,Q1
jp_035,soretomo,-ka soretomo -ka,Mise A -ga kono burando -o oite -imasu -ka soretomo Mise B -ga kono burando -o oite -imasu -ka,Shop A -Nom this brand -Acc deal.with -Pol -Q or shop B -Nom this brand -Acc deal.with -Pol -Q,Would Shop A sell this brand or would Shop B sell this brand?,FORMAL,Q1
jp_036,mata,nai-shi mata ... nai,Poru -wa isya -de -mo nai -shi mata kangoshi -de -mo nai,Paul -Top doctor -Cop -Additive Neg -SHI mata nurse -Cop -Additive Neg,Paul is neither a doctor nor is he a nurse.,,Q1
jp_037,sorekara,nai-shi sorekara ... nai,Poru -wa isya -de -mo nai -shi sorekara kangoshi -de -mo nai,Paul -Top doctor -Cop -Additive Neg -SHI sorekara nurse -Cop -Additive Neg,Paul is neither a doctor nor is he a nurse.,,Q1
jp_038,soshite,nai-shi soshite ... nai,Poru -wa isya -de -mo nai -shi soshite kangoshi -de -mo nai,Paul -Top doctor -Cop -Additive Neg -SHI soshite nurse -Cop -Additive Neg,Paul is neither a doctor nor is he a nurse.,,Q1
jp_039,mata,nai-shi mata ... nai,Maiku -wa aisu -o kawa -nakatta -shi mata imooto -ni age -nakatta,Mike -Top ice -Acc buy -Neg.Past -SHI mata younger.sister -Dat give -Neg.Past,Mike didn’t buy ice cream nor did he give it to his sister.,,Q1
jp_040,soshite,nai-shi soshite ... nai,Maiku -wa aisu -o kawa -nakatta -shi soshite imooto -ni age -nakatta,Mike -Top ice -Acc buy -Neg.Past -SHI soshite younger.sister -Dat give -Neg.Past,Mike didn’t buy ice cream nor did he give it to his sister.,,Q1
jp_041,sorekara,nai-shi sorekara ... nai,Maiku -wa aisu -o kawa -nakatta -shi sorekara imooto -ni age -nakatta,Mike -Top ice -Acc buy -Neg.Past -SHI sorekara younger.sister -Dat give -Neg.Past,Mike didn’t buy ice cream nor did he give it to his sister.,Source marks this with '??',Q1
