ref,context,premise,example,judgment,questionnaire,comment
CAN_EVID_065,neither-sta,na,CAN_041,?,Q2,"This could work, but doesn’t feel quite complete… would need a third conjunct saying what he actually is."
CAN_EVID_066,conj-nocontrast-sta-3,na,CAN_017,infelicitous,Q2,"This would only work if it means sth. like “Paul is not strictly speaking a doctor and not strictly speaking a nurse.”, but not in the conjunctive meaning intended in the context"
CAN_EVID_067,conj-nocontrast-sta-3,na,CAN_018,infelicitous,Q2,same as above
CAN_EVID_068,conj-contrast-sta-3,na,CAN_017,infelicitous,Q2,
CAN_EVID_069,conj-contrast-sta-3,na,CAN_018,infelicitous,Q2,
CAN_EVID_070,disj-spk-5,na,CAN_017,infelicitous,Q2,
CAN_EVID_071,disj-spk-5,na,CAN_018,infelicitous,Q2,
CAN_EVID_072,disj-nspk-sta-exc-5,na,CAN_017,infelicitous,Q2,
CAN_EVID_073,disj-nspk-sta-exc-5,na,CAN_018,infelicitous,Q2,
CAN_EVID_074,disj-nspk-sta-inc-5,na,CAN_017,infelicitous,Q2,
CAN_EVID_075,disj-nspk-sta-inc-5,na,CAN_018,infelicitous,Q2,
CAN_EVID_076,fc,na,CAN_042,?,Q2,"“jathai” and “hoji” sound a bit odd together, but that’s more about syntax than felicity. “Jathai” might be more of a VP connective."
CAN_EVID_077,fc,na,CAN_043,felicitous,Q2,that’s ok in this form
CAN_EVID_078,fc,na,CAN_044,infelicitous,Q2,This sounds like a question “Is he allowed to eat a cake or (is he allowed to choose) a cookie?”
CAN_EVID_079,fc,na,CAN_045,infelicitous,Q2,This sounds like a question “Is he allowed to eat a cake or (is he allowed to choose) a cookie?”
