ref,expression,full form,words,gloss,translation,comment,questionnaire
hausa-con-11,ko,ko kuma,John likita ne ko kuma marubuci ne ko wataƙila duka biyun,John doctor cop CONN writer cop CONN maybe together two,John is a doctor or he is a writer (maybe both).,,1
hausa-con-11b,ko,ko kuma,John likita ne ko kuma marubuci ne wataƙila duka biyun,,,,
hausa-con-12,ko,ko kuma,A gida    ka                     bar         wayar ka   ko kuma a cikin mota         ka                bar ta?,"At home 2sg.m.pfv 	leave phone your CONN      inside  bus/car	2sg.m.pfv  leave it
",Did you leave your phone at work or did you leave it on the bus?,,1
hausa-con-12b,ko,ko kuma,A gida    ka                     bar         wayar ka   ko a cikin mota         ka                bar ta?,,,,
hausa-con-13,ko,ko kuma,Shin za’a iya         samun wannan kayan a shagon A ko kuma         za’a iya   samu a shagon B?,Qprt possible getting this        item    at shop    A CONN         possible getting at Shop B,Would Shop A sell this brand or would Shop B sell this brand?,“shin” originally translated as “is there”; Qprt = Q particle,1
hausa-con-13b,ko,ko,Shin za’a iya         samun wannan kayan a shagon A ko         za’a iya   samu a shagon B?,,,,
hausa-con-14,kuma,kuma,Paul ba likita ba-ne kuma ba majinyaci ba-ne.,Paul neg doctor neg-cop CONN neg nurse neg-cop,Paul is neither a doctor nor is he a nurse. ,,1
hausa-con-15,kuma,kuma,Mike bai                 siyo ice cream ɗin ba kuma bai                 bawa ƙanwar            sa ba.,M.   neg.3sg.m.pfv        buy ice cream the neg CONN bai                 bawa ƙanwar            sa ba.,Mike didn’t buy ice cream nor did he give it to his sister.,,1
hausa-con-16,ko,ko kuma,Paul zai iya         zaɓar cupcake ko kuma zai iya zaɓar cookie.,Paul can	choose cupcake CONN 	can 	choose cookie,Paul can eat a cupcake or he can eat a cookie. ,,1
hausa-con-16b,ko,ko,Paul zai iya         zaɓar cupcake ko zai iya zaɓar cookie.,,,,
hausa-con-17,kuma,ba ... kuma ba ...,Susie ba likita ba ce kuma ba yar tsere ba ce. ,,Susie isn’t a doctor or a runner. ,same strategy as in 14/15,1
hausa-2-con-3,juxtaposition,juxtaposition,"Susie likita ce, talaka ce",,,,2
hausa-2-con-4,juxtaposition,juxtaposition,"Paul ba likita bane, kilaki ne",,,,2
hausa-2-con-4b,juxtaposition,juxtaposition,"Jen ba ta siyo ice cream ba, ta siyo cakuleti",,,,2
hausa-2-con-4c,amma,amma,Susie likita ce amma Malama ce,,,,2
hausa-2-con-5,juxtaposition,juxtaposition,"Paul likita ne, John likita ne",,,,2
hausa-2-con-8,ko,ko kuma,Paul ne likita ko kuma John ne likita.,,,,2
hausa-2-con-8b,ko,ko,Paul ne likita ko John ne likita,,,,2
hausa-2-con-9,juxtaposition,juxtaposition,"John likita ne, marubuci ne",,,,2
hausa-2-con-13,ko,ko-dai ... ko kuma ...,Ko-dai a gida ka bar wayar ka ko kuma a cikin mota ka bar ta?,,,,2
hausa-2-con-13b,ko,ko-dai ... ko ...,Ko-dai a gida ka bar wayar ka ko a cikin mota ka bar ta?,,,,2
hausa-2-con-14,juxtaposition,juxtaposition,"Paul ba likita ba ne, ba mai jinya ba ne",,,,2
hausa-2-con-15,ko,ko-dai ... ko kuma ...,Ko-dai Paul zai iya zaɓar cupcake ko kuma zai iya zaɓar cookie.,,,,2
hausa-2-con-15b,ko,ko-dai ... ko ...,Ko-dai Paul zai iya zaɓar cupcake ko zai iya zaɓar cookie.,,,,2
