ref,expression,full_form,words,glosses,translation,comment,questionnaire
GR-024,ite,ite … ite …,Ite afis-a to kinito mu stin dhulia ite mu epese ston dromo gia to spiti .,either left-1sg det phone 1sg.gen at.det work or 1sg.gen fell to.det road for det home,I left my phone at work or I dropped it on my way home.,,Q1
GR-025,‘i,‘i,O John einai giatros ‘i einai singrafeas,det John is doctor or is writer,John is a doctor or he is a writer.,"Using ‘ite’ cancels the implicature that John could be both. Both forms would be infelicitous without continuation. With a continuation like “he may be both”, '‘i' is more appropriate.",Q1/Q2
GR-026,‘i,‘i,O John einai giatros ‘i singrafeas,det John is doctor or writer,John is a doctor or he is a writer.,"Using ‘ite’ cancels the implicature that John could be both. Both forms would be infelicitous without continuation. With a continuation like “he may be both”, '‘i' is more appropriate.",Q1/Q2
GR-027,∅,∅,O John einai giatros; einai singrafeas.,det John is doctor is writer,John is a doctor; he is a writer.,,Q2
GR-028,∅,∅,O John einai giatros; singrafeas.,det John is doctor writer,John is a doctor; a writer.,,Q2
GR-029,ite,ite … ite …,O John ite einai giatros ite einai singrafeas.,det John either is doctor or is writer,John is either a doctor or he is a writer.,,Q2
GR-030,ite,ite … ite …,O John ite einai giatros ite singrafeas.,det John either is doctor or writer,John is either a doctor or a writer.,,Q2
GR-031,‘i,‘i,Afis-es to kinito su stin dhulia ‘i to afis-es sto leoforio?,left-2sg det phone 2sg.gen at.det work or det left-2sg on.det bus,Did you leave your phone at work or did you leave it on the bus?,,Q1
GR-032,ite,ite … ite …,Ite Afis-es to kinito su stin dhulia ite to afis-es sto leoforio?,either left-2sg det phone 2sg.gen at.det work or det left-2sg on.det bus,Did you either leave your phone at work or did you leave it on the bus?,,Q2
GR-033,ite,ite,Afis-es to kinito su stin dhulia ite to afis-es sto leoforio?,either left-2sg det phone 2sg.gen at.det work or det left-2sg on.det bus,Did you leave your phone at work or did you leave it on the bus?,,Q2
GR-034,‘i,‘i,Tha puluse to Katastima A aftin tin marka ‘i tha puluse to katastima B aftin tin marka?,Would sell det shop A this det brand or would sell det shop B this det brand?,Would Shop A sell this brand or would Shop B sell this brand?,,Q1
GR-035,ute,dhen … ute… ute …,"O Paul dhen einai ute giatros, ute einai nosokomos .",det Paul neg is UTE doctor UTE is nurse,Paul is neither a doctor nor is he a nurse.,dhen' is obligatory if 'ute' is dropped in the first conjunct.,Q1
GR-036,ute,dhen … ute… ute …,"O Paul dhen einai ute giatros, ute nosokomos .",det Paul neg is UTE doctor UTE nurse,Paul is neither a doctor nor is he a nurse.,dhen' is obligatory if 'ute' is dropped in the first conjunct.,Q1
GR-037,ute,dhen … ute …,"O Paul dhen einai giatros, ute einai nosokomos .",det Paul neg is doctor UTE is nurse,Paul is neither a doctor nor is he a nurse.,dhen' is obligatory if 'ute' is dropped in the first conjunct.,Q1
GR-038,ute,dhen … ute …,"O Paul dhen einai giatros, ute nosokomos .",det Paul neg is doctor UTE nurse,Paul is neither a doctor nor is he a nurse.,dhen' is obligatory if 'ute' is dropped in the first conjunct.,Q1
GR-039,ute,ute … ute ….,"O Paul ute einai giatros, ute nosokomos.",det Paul UTE is doctor UTE nurse,Paul is neither a doctor nor is he a nurse.,"if 'dhen' is dropped, the word order will change",Q1
GR-040,ute,dhen …. ute …. dhen … ute …,"O Paul dhen einai ute giatros, dhen einai ute nosokomos.",det Paul neg is UTE doctor neg is UTE nurse,Paul is neither a doctor nor is he a nurse.,,Q1
GR-041,∅,∅,O Paul einai giatros; einai nosokomos .,det Paul is doctor is nurse .,Paul is a doctor; he is a nurse.,,Q2
GR-042,∅,∅,O Paul einai giatros; nosokomos .,det Paul is doctor nurse .,Paul is a doctor; a nurse.,,Q2
GR-043,ute,ute … ute ….,O Mike ute agorase pagoto ute to edose stin aderfi tu.,det Mike UTE bought ice.cream UTE det gave to sister his,Mike didn’t buy ice cream nor did he give it to his sister.,,Q1
GR-044,ute,dhen … ute …,O Mike dhen agorase pagoto ute to edose stin aderfi tu.,det Mike neg bought ice.cream UTE det gave to sister his,Mike didn’t buy ice cream nor did he give it to his sister.,,Q1
GR-045,ite,ite … ite …,O Paul bori na fai ite ena cupcake ite ena biskoto.,det Paul can subj.C eat either a cupcake or a cookie,Paul can eat a cupcake or he can eat a cookie.,,Q1
GR-046,‘i,‘i,O Paul bori na fai ena cupcake ‘i bori na fai ena biskoto.,det Paul can subj.C eat a cupcake or can subj.C eat a cookie,Paul can eat a cupcake or he can eat a cookie.,"Intonation determines whether the sentence has an exclusivity inference. Without a stress on ‘i, the particle effectively functions as a conjunction.",Q1
GR-047,‘i,‘i,O Paul bori na fai ena cupcake ‘i ena biskoto.,det Paul can subj.C eat a cupcake or a cookie,Paul can eat a cupcake or he can eat a cookie.,"Intonation determines whether the sentence has an exclusivity inference. Without a stress on ‘i, the particle effectively functions as a conjunction.",Q1
