ref,context,premise,example,judgment,questionnaire,comment
vie_evidence_36,disj-nspk-epi-exc-2,na,vie_ex_3,infelicitous,Q2,
vie_evidence_37,disj-nspk-epi-inc-2,na,vie_ex_3,infelicitous,Q2,corrected to (ok with a modal): Paul có thể/chắc là vừa xem ti.vi vừa là áo
vie_evidence_38,disj-nspk-epi-inc-2,na,vie_ex_26,felicitous,Q2,
vie_evidence_39,disj-nspk-epi-inc-2,na,vie_ex_27,felicitous,Q2,
vie_evidence_40,neither-epi-2,na,vie_ex_3,infelicitous,Q2,
vie_evidence_41,conj-contrast-sta-mod,na,vie_ex_28,infelicitous,Q2,would prefer a connective
vie_evidence_42,disj-spk-4-prime,na,vie_ex_5,infelicitous,Q2,
vie_evidence_43,disj-nspk-sta-exc-3,na,vie_ex_5,infelicitous,Q2,The connector needs to be replaced with và
vie_evidence_44,disj-nspk-sta-inc-3,na,vie_ex_5,infelicitous,Q2,
vie_evidence_45,neither-sta-3,na,vie_ex_5,infelicitous,Q2,
vie_evidence_46,conj-contrast-epi,na,vie_ex_29,infelicitous,Q2,This is odd without a connector
vie_evidence_47,conj-contrast-negp-sta,na,vie_ex_30,felicitous,Q2,"That’s fine, but the pronoun ( anh.ấy ) is obligatory if no connector is there"
vie_evidence_48,conj-contrast-negp-epi,na,vie_ex_31,felicitous,Q2,not too bad (if the pronoun is there)
vie_evidence_49,conj-nocontrast-sta,na,vie_ex_32,infelicitous,Q2,
vie_evidence_50,conj-contrast-sta-mod,na,vie_ex_33,felicitous,Q2,that’s good
vie_evidence_51,disj-spk-2,na,vie_ex_34,infelicitous,Q2,
vie_evidence_52,disj-nspk-sta-exc-mod,na,vie_ex_35,infelicitous,Q2,
vie_evidence_53,disj-nspk-sta-inc-mod,na,vie_ex_36,infelicitous,Q2,
vie_evidence_54,neither-sta,na,vie_ex_37,infelicitous,Q2,
vie_evidence_55,neither-sta,na,vie_ex_38,infelicitous,Q2,
vie_evidence_56,neither-sta,na,vie_ex_39,infelicitous,Q2,
vie_evidence_57,disj-spk-2,na,vie_ex_40,infelicitous,Q2,
vie_evidence_58,conj-nocontrast-sta-2,na,vie_ex_10,infelicitous,Q2,
vie_evidence_59,conj-nocontrast-sta-2,na,vie_ex_41,infelicitous,Q2,
vie_evidence_60,conj-nocontrast-sta-2,na,vie_ex_42,infelicitous,Q2,
vie_evidence_61,conj-nocontrast-sta-2,na,vie_ex_43,infelicitous,Q2,
vie_evidence_62,conj-contrast-sta-2,na,vie_ex_10,infelicitous,Q2,
vie_evidence_63,conj-contrast-sta-2,na,vie_ex_41,infelicitous,Q2,
vie_evidence_64,conj-contrast-sta-2,na,vie_ex_42,infelicitous,Q2,
vie_evidence_65,conj-contrast-sta-2,na,vie_ex_43,infelicitous,Q2,
vie_evidence_66,disj-nspk-sta-exc-4,na,vie_ex_10,felicitous,Q2,ok
vie_evidence_67,disj-nspk-sta-exc-4,na,vie_ex_41,felicitous,Q2,ok
vie_evidence_68,disj-nspk-sta-exc-4,na,vie_ex_42,infelicitous,Q2,"would add something like “I don’t know…”, would be sth. like a rhetorical question (needs to be an embedded question or some such)"
vie_evidence_69,disj-nspk-sta-exc-4,na,vie_ex_43,felicitous,Q2,This seems ok
vie_evidence_70,disj-nspk-sta-inc-4,na,vie_ex_10,infelicitous,Q2,
vie_evidence_71,disj-nspk-sta-inc-4,na,vie_ex_41,infelicitous,Q2,
vie_evidence_72,disj-nspk-sta-inc-4,na,vie_ex_42,infelicitous,Q2,
vie_evidence_73,disj-nspk-sta-inc-4,na,vie_ex_43,?,Q2,"Continuation volunteered, slightly uncertain judgement about the last sentence"
vie_evidence_74,neither-sta-4,na,vie_ex_10,infelicitous,Q2,
vie_evidence_75,neither-sta-4,na,vie_ex_41,infelicitous,Q2,
vie_evidence_76,neither-sta-4,na,vie_ex_42,infelicitous,Q2,
vie_evidence_77,neither-sta-4,na,vie_ex_43,infelicitous,Q2,
vie_evidence_78,disj-nspk-epi,na,vie_ex_11,infelicitous,Q2,
vie_evidence_79,disj-nspk-sta-exc-mod,na,vie_ex_13,infelicitous,Q2,
vie_evidence_80,disj-nspk-sta-exc-mod,na,vie_ex_40,infelicitous,Q2,
vie_evidence_81,disj-nspk-epi-q-mod,na,vie_ex_16,felicitous,Q2,good
vie_evidence_82,disj-nspk-epi-q-mod,na,vie_ex_44,infelicitous,Q2,The last two are not questions
vie_evidence_83,disj-nspk-epi-q-mod,na,vie_ex_45,infelicitous,Q2,The last two are not questions
vie_evidence_84,neither-sta,na,vie_ex_46,felicitous,Q2,not too bad
vie_evidence_85,conj-nocontrast-sta-3,na,vie_ex_18,infelicitous,Q2,
vie_evidence_86,conj-contrast-sta-3,na,vie_ex_18,infelicitous,Q2,
vie_evidence_87,disj-spk-5,na,vie_ex_18,infelicitous,Q2,
vie_evidence_88,disj-nspk-sta-exc-5,na,vie_ex_18,infelicitous,Q2,
vie_evidence_89,disj-nspk-sta-inc-5,na,vie_ex_18,infelicitous,Q2,
vie_evidence_90,fc,na,vie_ex_20,felicitous,Q2,"Good, continuation in brackets volunteered (meaning “but not both”)"
vie_evidence_91,fc,na,vie_ex_47,felicitous,Q2,Good
vie_evidence_92,fc,na,vie_ex_48,felicitous,Q2,Good
vie_evidence_93,fc,na,vie_ex_49,?,Q2,"Not really bad, just not quite as natural as the other ones"
vie_evidence_94,fc,na,vie_ex_50,?,Q2,"See above, not really bad, just not quite natural"
vie_evidence_95,fc,na,vie_ex_51,infelicitous,Q2,"Again, these would need embedding and be interpreted as questions (“I don’t know… “)"
vie_evidence_96,fc,na,vie_ex_52,infelicitous,Q2,"Again, these would need embedding and be interpreted as questions (“I don’t know… “)"
vie_evidence_97,negative,na,vie_ex_21,felicitous,Q2,Good
vie_evidence_98,negative,na,vie_ex_53,infelicitous,Q2,
