ref,expression,full form,words,gloss,translation,comment,questionnaire
hebrew-con-17a,o,o,Hišʔarta et ha-telefon šel-xa b-a-avoda o hišʔarta ot-o b-a-otobus?,leave-pst.2sg.m acc def-telephone poss-2sg.m in-def-work CONN leave-pst.2sg.m acc-3sg.m in-def-bus,Did you leave your phone at work or did you leave it on the bus?,,1
hebrew-con-17b,o,o,Hišʔarta et ha-telefon šel-xa b-a-avoda o še-hišʔarta ot-o b-a-otobus?,leave-pst.2sg.m acc def-telephone poss-2sg.m in-def-work CONN comp-leave-pst.2sg.m acc-3sg.m in-def-bus,Did you leave your phone at work or did you leave it on the bus?,,1
hebrew-con-18,o,o,Xanut alef moxeret et ha-mutag ha-ze o xanut bet moxeret et ha-mutag ha-ze?,shop A sell.prs.sg.f acc def-brand def-this CONN shop B sell.prs.sg.f acc def-brand def-this,Would Shop A sell this brand or would Shop B sell this brand?,,1
hebrew-con-19,ve,lo ... ve-lo,Pol hu lo rofe ve-lo ax.,P. he neg doctor CONN -neg nurse,Paul is neither a doctor nor is he a nurse.,,1
hebrew-con-20,o,lo ... o,Pol hu lo rofe o ax.,P. he neg doctor CONN nurse,Paul is neither a doctor nor is he a nurse.,,1
hebrew-con-21,ve,lo ... ve-lo,Mayk lo kana glida ve-lo natan ot-a le-axot-o.,M. neg buy.pst.3sg.m ice.cream CONN -neg give.pst.3sg.m acc-3sg.f to-sister-3sg.m,Mike didn’t buy ice cream nor did he give it to his sister.,,1
hebrew-con-22a,o,o,Pol yaxol leʔexol kapkeyk o ugiya.,P. can.prs.3sg.m eat.inf cupcake CONN cookie,Paul can eat a cupcake or he can eat a cookie.,,1
hebrew-con-22b,o ... o,o ... o,Pol yaxol leʔexol o kapkeyk o ugiya.,P. can.prs.3sg.m eat.inf CONN cupcake CONN cookie,Paul can eat a cupcake or he can eat a cookie.,,1
hebrew-con-23,o,o,Pol yaxol leʔexol kapkeyk o še-hu yaxol leʔexol ugiya.,P. can.prs.3sg.m eat.inf cupcake CONN comp-he can.prs.3sg.m eat.inf cookie,Paul can eat a cupcake or he can eat a cookie.,the complementiser is needed in the second example; no second “o še-” in the clausal disjunction (this would block the FC reading),1
hebrew-con-24,∅,juxtaposition,"Suzi hi rofʔa , hi ani-a.",S. she doctor.f she poor-sg.f,"Susie is a doctor, she is poor.",sounds a bit weird,2
hebrew-con-25,∅,juxtaposition,"Jen kanta glida, hi kanta ot-a bišvil mišehu axer.",J. buy.pst.3sg.f ice.cream she buy.pst.3sg.f acc-3sg.f for someone else,"Jen bought ice cream, she bought it for someone else.",would be ok as a clarification,2
hebrew-con-26,∅,juxtaposition,"Pol hu lo rofe, hu pkid kabala.",P. he neg doctor he clerk.of reception,"Paul is not a doctor, he is a receptionist.","That’s ok, but the pronoun has to be there.",2
hebrew-con-27,∅,juxtaposition,Jen lo kanta glida hi kanta šokolad.,J. neg buy.pst.3sg.f ice.cream buy.pst.3sg.f chocolate,Jen didn't buy ice cream she bought chocolate.,s.a.,2
hebrew-con-28,o,o,Pol hu rofe o jon hu rofe (ulay šney-hem),,Paul is a doctor or John is a doctor (maybe both of them).,,2
hebrew-con-29,o ... o,o ... o,O Pol o Jon hu rofe (ulay šney-hem),,Either Paul or John is a doctor (maybe both of them).,,2
hebrew-con-30,o,o,Pol o jon yavou,P. conn J. fut.come,Paul or John will come.,with ‘o … o’ it would more likely be interpreted exclusively,2
