ref,expression,full form,words,glosses,translation,comment,questionnaire
spa_051,∅,juxtaposition,"Paul es doctor, John es doctor.",Paul is doctor John is doctor,"Paul is a doctor, John is a doctor.",NA,Q2
spa_052,o … o,o … o,O Paul es doctor o John es doctor.,O Paul is doctor O John is doctor,Either Paul is a doctor or John is a doctor.,NA,Q2
spa_053,∅,juxtaposition,"Me he dejado el móvil en el trabajo, se me ha caído de camino a casa.",I have lost the phone at the work it I have dropped on.the way home,"I left my phone at work, it fell on my way home.","Translation “I left my phone at work, it fell on my way home.”",Q2
spa_054,∅,juxtaposition,"John es doctor, es escritor.",John is doctor is writer,"John is a doctor, he is a writer.",NA,Q2
spa_055,o … o,o … o,¿ O te has dejado el móvil en el trabajo o te lo has dejado en el autobús?,O you have left the phone at the work O you it have left at the bus,Are you saying that you either left your phone at work or at the bus?,"doesn’t work as an alternative question; means sth. like “Are you saying that you either left your phone at work or at the bus?”; for the intended meaning, omit the first “o”",Q2
spa_056,∅,juxtaposition,"Paul es doctor , es enfermero.",Paul is doctor is nurse,"Paul is a doctor, he is a nurse.",NA,Q2
spa_057,∅,juxtaposition,"Paul no es doctor , es enfermero.",Paul not is doctor is nurse,"Paul is not a doctor, he is a nurse.",NA,Q2
spa_058,no … ni,no … ni,Paul es doctor ni es enfermero.,Paul is doctor NI is nurse,Paul is a doctor nor is he a nurse.,NA,Q2
spa_059,o … o,o … o,O Paul se puede comer un cupcake o se puede comer una galleta.,O Paul refl can eat a cupcake O refl can eat a cookie,Either Paul can eat a cupcake or he can eat a cookie.,"the first sentence is a lot better, the second one implies that the speaker is not sure “Either P can eat a cupcake or he can eat a cookie.”",Q2
spa_060,o … o,o … o,O Paul se puede comer un cupcake o una galleta.,O Paul refl can eat a cupcake O a cookie,Either Paul can eat a cupcake or a cookie.,"the first sentence is a lot better, the second one implies that the speaker is not sure “Either P can eat a cupcake or he can eat a cookie.”",Q2
